All,Internal,Leaves
0.018147356,0.018147356,0.0513685735
0.0177500527,0.0177500527,0.0453963879
0.0513685735,0.0018667008,0.0428938896
0.0018667008,0.0073770958,0.0416422935
0.0073770958,0.0115395101,0.0618809541
0.0453963879,0.0023285939,0.0503067346
0.0115395101,0.0008329683,0.0682336911
0.0428938896,0.0006708892,0.0552516402
0.0023285939,0.0040770165,0.0716842023
0.0416422935,0.0029248353,0.0529390297
0.0618809541,0.0028268097,0.0488484801
0.0008329683,0.0011430415,0.0508488577
0.0503067346,0.0019733905,0.0652351101
0.0006708892,0.0006065569,0.0714132783
0.0682336911,0.0031601155,0.0589203912
0.0040770165,0.0008499426,0.0890117483
0.0029248353,0.0026057401,0.0697452664
0.0028268097,0.0104887042,0.0655672363
0.0552516402,0.0612108723,0.0401484108
0.0011430415,0.0018488646,0.0678292381
0.0019733905,0.0092238271,0.0435962937
0.0716842023,0.0030089334,0.0676552024
0.0529390297,0.0001761128,0.0404849031
0.0006065569,0.0014259181,0.0619660645
0.0488484801,0.0195505347,0.0564242648
0.0508488577,0.0187732128,0.408612117
0.0031601155,0.0074403714,0.0851810223
0.0652351101,0.2177468721,0.0991781962
0.0008499426,0.1284027238,0.0678860131
0.0714132783,0.3668457063,0.0723908975
0.0589203912,0.00180237,0.0806035557
0.0026057401,0.0035602617,0.072401573
0.0104887042,0.0103370882,0.0782465592
0.0612108723,0.0205440254,0.0740971674
0.0890117483,0.0045064652,0.0607842861
0.0018488646,0.017728816,0.0685372248
0.0092238271,0.0062547515,0.0145921645
0.0697452664,0.0055440688,2.81E-06
0.0030089334,0.0012461115,0.0015281797
0.0655672363,0.0166968451,0.0754343606
0.0401484108,0.0377179179,0.0617123982
0.0001761128,0.0471685364,0.0462795906
0.0678292381,0.001341787,0.0886840456
0.0014259181,0.0005659282,0.0751088062
0.0435962937,0.0009999341,0.0464457257
0.0195505347,0.0059740007,0.0357444901
0.0676552024,0.0290725569,0.0365987025
0.0404849031,0.0032052123,0.0625675939
0.0187732128,0.0085101823,0.0524915098
0.0619660645,0.0184907539,0.0511246834
0.0564242648,0.005010735,0.0528105111
0.0074403714,0.0076119507,0.0486003731
0.2177468721,0.0030856842,0.089600962
0.408612117,0.0247694445,0.0841895851
0.1284027238,0.0025989445,0.0846096283
0.3668457063,0.0103291315,0.0830283707
0.00180237,0.0036094505,0.0626723139
0.0035602617,0.0037415623,0.0665622297
0.0103370882,0.0008407947,0.0855481942
0.0851810223,0.0051008225,0.0740838063
0.0991781962,0.0189790291,0.0559897562
0.0205440254,0.0035173515,0.085332533
0.0678860131,0.0009654881,0.0708615344
0.0723908975,0.0012622511,0.0599967157
0.0045064652,0.0035324803,0.0742014295
0.017728816,0.0024982192,0.0527549723
0.0062547515,0.0292215465,0.0601548098
0.0806035557,0.0192595746,0.0797002262
0.0055440688,0.0079863427,0.0659786808
0.072401573,0.0044574653,0.0770219991
0.0012461115,0.0203863595,0.0790153644
0.0782465592,0.0007364925,0.1129253015
0.0166968451,0.0041415189,0.0796127395
0.0740971674,0.001667689,0.0702237297
0.0607842861,0.0017321492,0.0934424705
0.0377179179,0.001306009,0.0701268106
0.0685372248,0.0217622369,0.1044351301
0.0471685364,0.0025301508,0.0902809422
0.001341787,0.0012988846,0.368551954
0.0145921645,0.0038382976,0.3276129111
2.81E-06,0.4944831744,0.0373701303
0.0015281797,0.5888477397,0.0360482051
0.0754343606,0.1540550816,0.0376881843
0.0005659282,0.4745372302,0.0416076763
0.0009999341,0.7127819651,0.0317354263
0.0059740007,0.0015864615,0.4852528872
0.0290725569,0.001106977,0.3968780412
0.0617123982,0.0056769839,0.3475541179
0.0462795906,0.3596350723,0.0538698451
0.0032052123,0.1477683299,0.0685204334
0.0886840456,1.317568619,0.0986600404
0.0085101823,0.3623191672,0.0364799271
0.0751088062,0.0010720953,0.0418318258
0.0184907539,0.0014232243,0.0858099959
0.0464457257,0.0228685624,0.0688887751
0.005010735,0.2190949566,0.4050389642
0.0357444901,0.2776603076,0.0522108969
0.0365987025,0.0069869267,0.0448008733
0.0076119507,,0.0228518021
0.0030856842,,0.0153627867
0.0625675939,,
0.0247694445,,
0.0524915098,,
0.0025989445,,
0.0511246834,,
0.0103291315,,
0.0528105111,,
0.0486003731,,
0.0036094505,,
0.089600962,,
0.0037415623,,
0.0841895851,,
0.0846096283,,
0.0008407947,,
0.0051008225,,
0.0189790291,,
0.0035173515,,
0.0830283707,,
0.0626723139,,
0.0009654881,,
0.0012622511,,
0.0665622297,,
0.0035324803,,
0.0855481942,,
0.0024982192,,
0.0292215465,,
0.0740838063,,
0.0559897562,,
0.085332533,,
0.0192595746,,
0.0708615344,,
0.0079863427,,
0.0599967157,,
0.0044574653,,
0.0742014295,,
0.0527549723,,
0.0203863595,,
0.0601548098,,
0.0797002262,,
0.0007364925,,
0.0041415189,,
0.0659786808,,
0.001667689,,
0.0770219991,,
0.0017321492,,
0.0790153644,,
0.1129253015,,
0.001306009,,
0.0217622369,,
0.0796127395,,
0.0702237297,,
0.0025301508,,
0.0934424705,,
0.0012988846,,
0.0701268106,,
0.0038382976,,
0.1044351301,,
0.0902809422,,
0.4944831744,,
0.5888477397,,
0.368551954,,
0.3276129111,,
0.1540550816,,
0.4745372302,,
0.7127819651,,
0.0373701303,,
0.0015864615,,
0.0360482051,,
0.001106977,,
0.0376881843,,
0.0056769839,,
0.0416076763,,
0.0317354263,,
0.3596350723,,
0.4852528872,,
0.1477683299,,
0.3968780412,,
0.3475541179,,
1.317568619,,
0.3623191672,,
0.0538698451,,
0.0010720953,,
0.0685204334,,
0.0014232243,,
0.0986600404,,
0.0228685624,,
0.0364799271,,
0.0418318258,,
0.2190949566,,
0.2776603076,,
0.0858099959,,
0.0688887751,,
0.4050389642,,
0.0522108969,,
0.0069869267,,
0.0448008733,,
0.0228518021,,
0.0153627867,,