Branches,Edge Length
0.59361257,All
1.00401373,All
0.0472565985,All
0.1995918498,All
0.1394679159,All
0.114568735,All
0.0621506401,All
0.7807307243,All
0.0198163252,All
0.2180301792,All
0.0044824264,All
0.1503179653,All
0.0026905778,All
0.1277847598,All
0.1279318146,All
0.015882142,All
0.3775710528,All
0.0067380778,All
0.0135755438,All
0.0301284455,All
0.1864975569,All
0.2141228118,All
0.0143021141,All
0.3059969371,All
0.019274057,All
0.0253904418,All
0.0817145904,All
0.2960456827,All
0.0149497792,All
0.4313711004,All
0.0980679487,All
0.2217552039,All
0.0237768637,All
0.1050209624,All
0.1310368051,All
0.1715422257,All
0.110188806,All
0.1816514252,All
0.021827543,All
0.0078623686,All
0.1503624457,All
0.0094329726,All
0.0169490405,All
0.0052813725,All
0.1939817057,All
0.2113169872,All
0.0102807474,All
0.158014814,All
0.0059978987,All
0.2162568428,All
0.0101269162,All
0.4404519811,All
0.1839415328,All
0.002302465,All
0.1524998789,All
0.1565939354,All
0.0037836893,All
0.1883311099,All
0.0052200422,All
0.0121445531,All
0.1980327722,All
0.0032152016,All
0.2060853275,All
0.0056288614,All
0.1929659065,All
0.007156475,All
0.1084473005,All
0.0788619673,All
0.0038373068,All
0.0780360897,All
0.0927736888,All
0.1715600693,All
0.0036019908,All
0.228511943,All
0.0065762211,All
0.256237458,All
0.0161296671,All
0.0059266173,All
0.0122343296,All
0.1560865546,All
0.0142968494,All
0.0756763709,All
0.1212424866,All
0.0029164191,All
0.0026917506,All
0.168672814,All
0.1661835749,All
0.0040535716,All
0.1570307072,All
0.0034469618,All
0.0087147976,All
0.13321804,All
0.1628927656,All
0.1366304955,All
0.0036629828,All
0.0125084654,All
0.1976221961,All
0.2181300229,All
0.0039423795,All
0.2035148498,All
0.0058138818,All
0.2183433272,All
0.0064241627,All
0.1889569477,All
0.0071364012,All
0.1424182045,All
0.1338977753,All
0.014719915,All
0.2100937612,All
0.0474741444,All
0.0041207798,All
0.1888233706,All
0.0064376757,All
0.2205723884,All
0.0563222101,All
0.1799492955,All
0.0949710547,All
0.1339342259,All
0.2488444867,All
0.1821933146,All
0.0553152291,All
0.1397101044,All
0.0033153157,All
0.1169233195,All
0.0092729461,All
0.203414469,All
0.0033508198,All
0.0024996723,All
0.1188709232,All
0.1122679385,All
0.0022118955,All
0.2846082037,All
0.0026135487,All
0.1261923824,All
0.0038332511,All
0.0768663776,All
0.0793252122,All
0.0241558538,All
0.0102119011,All
0.2307760932,All
0.06731661,All
0.1177000865,All
0.1040381095,All
0.0102231819,All
0.0218318289,All
0.1684984717,All
0.0203923574,All
0.0301473112,All
0.103674487,All
0.1432460177,All
0.1738838579,All
0.0194393656,All
0.1445388785,All
0.0034309581,All
0.0214916246,All
0.0829823267,All
0.1929923369,All
0.2111699994,All
0.2470946818,All
0.0049083674,All
0.0264940227,All
0.1819127474,All
0.1249129091,All
0.0040472526,All
0.181659367,All
0.0188152028,All
0.0309987895,All
0.157047946,All
0.1385522842,All
0.1596538484,All
0.0144537197,All
0.2480607195,All
0.1829063542,All
0.326279419,All
0.1887885175,All
0.0092265548,All
0.186135194,All
0.0096476107,All
0.07576029,All
0.0958761883,All
0.1472767919,All
0.0059857111,All
0.2118468216,All
0.0363585282,All
0.1551235149,All
0.1634142978,All
0.0149209927,All
0.1486173567,All
0.0515777052,All
0.2135297856,All
0.193337376,All
0.0045286088,All
0.207940411,All
0.1412322742,All
0.2223823566,All
0.0123396019,All
0.2127362855,All
0.1540287984,All
0.59361257,Internal
0.0472565985,Internal
0.1394679159,Internal
0.7807307243,Internal
0.0198163252,Internal
0.0044824264,Internal
0.0026905778,Internal
0.015882142,Internal
0.0067380778,Internal
0.0135755438,Internal
0.0301284455,Internal
0.0143021141,Internal
0.019274057,Internal
0.0253904418,Internal
0.0817145904,Internal
0.0149497792,Internal
0.0980679487,Internal
0.0237768637,Internal
0.1050209624,Internal
0.110188806,Internal
0.021827543,Internal
0.0078623686,Internal
0.0094329726,Internal
0.0169490405,Internal
0.0052813725,Internal
0.0102807474,Internal
0.0059978987,Internal
0.0101269162,Internal
0.002302465,Internal
0.0037836893,Internal
0.0052200422,Internal
0.0121445531,Internal
0.0032152016,Internal
0.0056288614,Internal
0.007156475,Internal
0.1084473005,Internal
0.0038373068,Internal
0.0036019908,Internal
0.0065762211,Internal
0.0161296671,Internal
0.0059266173,Internal
0.0122343296,Internal
0.0142968494,Internal
0.0029164191,Internal
0.0026917506,Internal
0.0040535716,Internal
0.0034469618,Internal
0.0087147976,Internal
0.0036629828,Internal
0.0125084654,Internal
0.0039423795,Internal
0.0058138818,Internal
0.0064241627,Internal
0.0071364012,Internal
0.014719915,Internal
0.0474741444,Internal
0.0041207798,Internal
0.0064376757,Internal
0.0563222101,Internal
0.0949710547,Internal
0.1339342259,Internal
0.0553152291,Internal
0.0033153157,Internal
0.0092729461,Internal
0.0033508198,Internal
0.0024996723,Internal
0.0022118955,Internal
0.0026135487,Internal
0.0038332511,Internal
0.0241558538,Internal
0.0102119011,Internal
0.06731661,Internal
0.1177000865,Internal
0.1040381095,Internal
0.0102231819,Internal
0.0218318289,Internal
0.0203923574,Internal
0.0301473112,Internal
0.0194393656,Internal
0.0034309581,Internal
0.0214916246,Internal
0.0829823267,Internal
0.0049083674,Internal
0.0264940227,Internal
0.0040472526,Internal
0.0188152028,Internal
0.0309987895,Internal
0.0144537197,Internal
0.0092265548,Internal
0.0096476107,Internal
0.07576029,Internal
0.0059857111,Internal
0.0363585282,Internal
0.0149209927,Internal
0.1486173567,Internal
0.0515777052,Internal
0.0045286088,Internal
0.0123396019,Internal
1.00401373,Leaves
0.1995918498,Leaves
0.114568735,Leaves
0.0621506401,Leaves
0.2180301792,Leaves
0.1503179653,Leaves
0.1277847598,Leaves
0.1279318146,Leaves
0.3775710528,Leaves
0.1864975569,Leaves
0.2141228118,Leaves
0.3059969371,Leaves
0.2960456827,Leaves
0.4313711004,Leaves
0.2217552039,Leaves
0.1310368051,Leaves
0.1715422257,Leaves
0.1816514252,Leaves
0.1503624457,Leaves
0.1939817057,Leaves
0.2113169872,Leaves
0.158014814,Leaves
0.2162568428,Leaves
0.4404519811,Leaves
0.1839415328,Leaves
0.1524998789,Leaves
0.1565939354,Leaves
0.1883311099,Leaves
0.1980327722,Leaves
0.2060853275,Leaves
0.1929659065,Leaves
0.0788619673,Leaves
0.0780360897,Leaves
0.0927736888,Leaves
0.1715600693,Leaves
0.228511943,Leaves
0.256237458,Leaves
0.1560865546,Leaves
0.0756763709,Leaves
0.1212424866,Leaves
0.168672814,Leaves
0.1661835749,Leaves
0.1570307072,Leaves
0.13321804,Leaves
0.1628927656,Leaves
0.1366304955,Leaves
0.1976221961,Leaves
0.2181300229,Leaves
0.2035148498,Leaves
0.2183433272,Leaves
0.1889569477,Leaves
0.1424182045,Leaves
0.1338977753,Leaves
0.2100937612,Leaves
0.1888233706,Leaves
0.2205723884,Leaves
0.1799492955,Leaves
0.2488444867,Leaves
0.1821933146,Leaves
0.1397101044,Leaves
0.1169233195,Leaves
0.203414469,Leaves
0.1188709232,Leaves
0.1122679385,Leaves
0.2846082037,Leaves
0.1261923824,Leaves
0.0768663776,Leaves
0.0793252122,Leaves
0.2307760932,Leaves
0.1684984717,Leaves
0.103674487,Leaves
0.1432460177,Leaves
0.1738838579,Leaves
0.1445388785,Leaves
0.1929923369,Leaves
0.2111699994,Leaves
0.2470946818,Leaves
0.1819127474,Leaves
0.1249129091,Leaves
0.181659367,Leaves
0.157047946,Leaves
0.1385522842,Leaves
0.1596538484,Leaves
0.2480607195,Leaves
0.1829063542,Leaves
0.326279419,Leaves
0.1887885175,Leaves
0.186135194,Leaves
0.0958761883,Leaves
0.1472767919,Leaves
0.2118468216,Leaves
0.1551235149,Leaves
0.1634142978,Leaves
0.2135297856,Leaves
0.193337376,Leaves
0.207940411,Leaves
0.1412322742,Leaves
0.2223823566,Leaves
0.2127362855,Leaves
0.1540287984,Leaves